Route ID,Agency ID,Route Code,Route Name,Description,Route Type,Route Color,Text Color,Route Description
329D,BMTCB,,Shivajinagar -Muthasandra,,3,F53333,FFFFFF,329D :Shivajinagar -Muthasandra
329E,BMTCB,,K R Market -Belikere,,3,F53333,FFFFFF,329E :K R Market -Belikere
329F,BMTCB,,K R Market -Anugondanahalli,,3,F53333,FFFFFF,329F :K R Market -Anugondanahalli
329G,BMTCB,,Shivajinagar -Kothur,,3,F53333,FFFFFF,329G :Shivajinagar -Kothur
329H,BMTCB,,Kempegowda Bus Station -Belikere,,3,F53333,FFFFFF,329H :Kempegowda Bus Station -Belikere
330,BMTCB,,Shivajinagar -Marathahalli Bridge,,3,F53333,FFFFFF,330:Shivajinagar -Marathahalli Bridge
330A,BMTCB,,Shivajinagar -L B Shastrinagar,,3,F53333,FFFFFF,330A :Shivajinagar -L B Shastrinagar
330B,BMTCB,,Shivajinagar -AECS Layout (Kundalahalli),,3,F53333,FFFFFF,330B :Shivajinagar -AECS Layout (Kundalahalli)
330C,BMTCB,,Shivajinagar -Basavanagar,,3,F53333,FFFFFF,330C :Shivajinagar -Basavanagar
330D,BMTCB,,Shivajinagar -Kannalli,,3,F53333,FFFFFF,330D :Shivajinagar -Kannalli
330F,BMTCB,,Shivajinagar -Varthur,,3,F53333,FFFFFF,330F :Shivajinagar -Varthur
330G,BMTCB,,Shivajinagar -Doddanekkundi,,3,F53333,FFFFFF,330G :Shivajinagar -Doddanekkundi
330M,BMTCB,,Shivajinagar -Ashwathnagar (Marathahalli),,3,F53333,FFFFFF,330M :Shivajinagar -Ashwathnagar (Marathahalli)
330P,BMTCB,,Shivajinagar -Panathur,,3,F53333,FFFFFF,330P :Shivajinagar -Panathur
331,BMTCB,,Shivajinagar -Kadugodi,,3,F53333,FFFFFF,331:Shivajinagar -Kadugodi
331E,BMTCB,,Shivajinagar -Belthur,,3,F53333,FFFFFF,331E :Shivajinagar -Belthur
331M,BMTCB,,Shivajinagar -Hosakote,,3,F53333,FFFFFF,331M :Shivajinagar -Hosakote
332,BMTCB,,K R Market -Balagere,,3,F53333,FFFFFF,332:K R Market -Balagere
333,BMTCB,,Kempegowda Bus Station -Marathahalli,,3,F53333,FFFFFF,333:Kempegowda Bus Station -Marathahalli
333A,BMTCB,,Kempegowda Bus Station -Jagadeeshnagar,,3,F53333,FFFFFF,333A :Kempegowda Bus Station -Jagadeeshnagar
333B,BMTCB,,Kempegowda Bus Station -AECS Layout (Kundalahalli),,3,F53333,FFFFFF,333B :Kempegowda Bus Station -AECS Layout (Kundalahalli)
333C,BMTCB,,Kempegowda Bus Station -Basavanagar,,3,F53333,FFFFFF,333C :Kempegowda Bus Station -Basavanagar
