_id,Ward No.,Ward Name,Area (sq km),Road length (kms),Ward Area (in sq.km),Total Population,Male Population,Female Population,SC Population,ST Population,Assembly constituency,Parliamentary constituency
137,137,Rayapuram,0.4,16,1.7605,48749,24806,23943,9022,976,169-CHICKPET,BANGALORE SOUTH
138,138,Chelavadi Palya,0.4,14,3.3298,48276,24167,24109,3053,1104,169-CHICKPET,BANGALORE SOUTH
139,139,KR Market,0.8,26,2.1474,44893,22821,22072,2482,435,169-CHICKPET,BANGALORE SOUTH
140,140,Chamraja Pet,1.0,34,0.8012,45912,23406,22506,2760,1660,168-CHAMARAJPET,BANGALORE CENTRAL
141,141,Azad Nagar,0.7,26,1.273,39688,20558,19130,3509,719,167-VIJAYA NAGAR,BANGALORE SOUTH
142,142,Sunkenahalli,1.5,50,1.9609,40893,21416,19477,3919,734,167-VIJAYA NAGAR,BANGALORE SOUTH
143,143,Vishveshwara Puram,2.5,52,2.0167,38210,19706,18504,5257,700,166-GOVINDRAJA NAGAR,BANGALORE SOUTH
144,144,Siddapura,0.7,15,1.5781,38305,19547,18758,2907,489,166-GOVINDRAJA NAGAR,BANGALORE SOUTH
145,145,Hombegowda Nagar,1.4,36,9.8792,41330,21549,19781,3890,805,154-RAJARAJESHWARI NAGAR,BANGALORE RURAL
146,146,Lakkasandra,1.3,29,8.7155,39179,20417,18762,4593,1015,153-YESHVANTHAPURA,BANGALORE NORTH
147,147,Adugodi,1.6,31,4.176,44395,23160,21235,4810,1131,153-YESHVANTHAPURA,BANGALORE NORTH
148,148,Ejipura,1.9,48,7.8105,40703,20941,19762,4751,722,153-YESHVANTHAPURA,BANGALORE NORTH
149,149,Varthur,28.3,202,8.3181,42029,21727,20302,2835,1298,154-RAJARAJESHWARI NAGAR,BANGALORE RURAL
150,150,Bellanduru,26.4,249,1.1472,38127,20563,17564,1752,502,171-PADMANABA NAGAR,BANGALORE SOUTH
151,151,Koramangala,3.7,71,1.6507,39105,19812,19293,756,428,170-BASAVANAGUDI,BANGALORE SOUTH
152,152,Suddagunte Palya,1.7,38,0.9469,46163,23603,22560,870,944,170-BASAVANAGUDI,BANGALORE SOUTH
153,153,Jaya Nagar,2.5,47,1.1025,41533,21168,20365,1587,595,170-BASAVANAGUDI,BANGALORE SOUTH
154,154,Basavanagudi,1.2,38,1.0002,39677,20376,19301,722,555,170-BASAVANAGUDI,BANGALORE SOUTH
155,155,Hanumanth Nagar,1.0,30,1.1187,41007,21247,19760,2309,774,170-BASAVANAGUDI,BANGALORE SOUTH
156,156,Sri Nagar,0.8,29,1.248,35766,17837,17929,1038,424,170-BASAVANAGUDI,BANGALORE SOUTH
157,157,Gali Anjenaya Temple Ward,1.1,34,1.4962,38070,19220,18850,2086,632,171-PADMANABA NAGAR,BANGALORE SOUTH
158,158,Deepanjali Nagar,2.1,50,2.1133,47111,23749,23362,5556,458,173-JAYANAGAR,BANGALORE SOUTH
159,159,Kengeri,5.1,99,1.6039,47815,24269,23546,7085,497,173-JAYANAGAR,BANGALORE SOUTH
160,160,Raja Rajeshawari Nagar,11.1,223,0.6817,48991,25325,23666,1470,1008,173-JAYANAGAR,BANGALORE SOUTH
161,161,Hosakerehalli,1.3,46,1.8096,43392,23594,19798,3505,486,172-B.T.M. LAYOUT,BANGALORE SOUTH
162,162,Giri Nagar,1.8,55,1.9081,48289,25902,22387,3436,606,172-B.T.M. LAYOUT,BANGALORE SOUTH
163,163,Katriguppe,1.1,38,1.2908,43190,23511,19679,3555,760,172-B.T.M. LAYOUT,BANGALORE SOUTH
164,164,Vidya Peeta Ward,1.2,42,2.6479,47119,25181,21938,5721,1407,172-B.T.M. LAYOUT,BANGALORE SOUTH
165,165,Ganesh Mandir Ward,1.6,45,11.7708,40355,20192,20163,12993,694,163-SHANTI NAGAR,BANGALORE CENTRAL
166,166,Kari Sandra,1.1,31,10.6791,44402,26075,18327,4363,1079,174-MAHADEVAPURA (SC),BANGALORE CENTRAL
167,167,Yediyur,1.2,41,22.2087,43083,22277,20806,6913,584,174-MAHADEVAPURA (SC),BANGALORE CENTRAL
168,168,Pattabhi Ram Nagar,1.7,43,15.8955,43488,24090,19398,7184,903,174-MAHADEVAPURA (SC),BANGALORE CENTRAL
169,169,Byra Sandra,0.9,26,10.8856,42667,22552,20115,2490,580,174-MAHADEVAPURA (SC),BANGALORE CENTRAL
170,170,Jaya Nagar East,1.0,29,4.9317,42405,21844,20561,3566,552,175-BOMMANAHALLI,BANGALORE SOUTH
171,171,Gurappana Palya,0.7,24,3.7716,48292,25457,22835,4663,857,175-BOMMANAHALLI,BANGALORE SOUTH
172,172,Madivala,1.2,41,3.5278,48498,26545,21953,5109,1011,175-BOMMANAHALLI,BANGALORE SOUTH
173,173,Jakka Sandra,1.5,34,4.0612,44575,23533,21042,3514,458,175-BOMMANAHALLI,BANGALORE SOUTH
174,174,HSR Layout,7.1,141,2.2216,43258,21957,21301,3965,562,173-JAYANAGAR,BANGALORE SOUTH
175,175,Bommanahalli,1.8,49,2.6736,42653,21867,20786,1878,551,173-JAYANAGAR,BANGALORE SOUTH
176,176,BTM Layout,2.1,64,1.6877,38110,19206,18904,1952,580,171-PADMANABA NAGAR,BANGALORE SOUTH
177,177,JP Nagar,1.8,48,1.2439,39811,20050,19761,2649,966,171-PADMANABA NAGAR,BANGALORE SOUTH
178,178,Sarakki,1.3,39,1.3673,37433,18709,18724,663,334,171-PADMANABA NAGAR,BANGALORE SOUTH
179,179,Shakambari Narar,1.9,41,0.9098,38398,20033,18365,642,248,171-PADMANABA NAGAR,BANGALORE SOUTH
180,180,Banashankari Temple Ward,0.7,28,4.0146,45950,23789,22161,3261,927,176-BANGALORE SOUTH,BANGALORE RURAL
181,181,Kumara Swamy Layout,1.8,60,8.572,38171,20054,18117,4284,651,176-BANGALORE SOUTH,BANGALORE RURAL
182,182,Padmanabha Nagar,1.7,53,3.411,41971,21859,20112,4596,824,176-BANGALORE SOUTH,BANGALORE RURAL
183,183,Chikkala Sandra,1.1,39,1.6065,38739,20164,18575,2906,305,171-PADMANABA NAGAR,BANGALORE SOUTH
184,184,Uttarahalli,9.9,215,1.177,37665,19362,18303,1674,955,171-PADMANABA NAGAR,BANGALORE SOUTH
185,185,Yelchenahalli,1.6,51,1.5827,46943,24623,22320,2873,437,176-BANGALORE SOUTH,BANGALORE RURAL
